	zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta07g03420	1969856.04423748	1365404.25916305	1725417.48575753	2016176.75875015	1473015.47804115	1671270.42496419	1999512.56230327	1884439.87713129	1347273.00212388	1344553.87718189	1722653.91941437	1309872.29946098	1464975.6267655	1426977.72897258	1137405.6662628	1871294.62890332	1866812.39401203	2075657.54462224
ostta17g00630	1260952.4535007	995606.322793511	642228.553288589	1052202.4511553	2039591.69324344	1226007.51767951	1017487.57166664	1182053.61876668	699851.326403472	2356524.43330566	3390925.37628109	815176.659058302	868657.474801953	1196951.28881523	913536.853864939	1203443.17737654	1004545.80350913	1079539.41221067
ostta06g02940	7252414.74142169	6655677.96775538	4270493.88875168	9101460.87406887	9045119.6985353	10331182.6085193	11350988.2342106	11301557.3254185	5121165.3613655	23323023.0495463	23142370.2240702	7873891.19251532	21436985.0878856	21046084.7236923	6541855.03540473	22327476.1529306	22045551.0198684	17487768.3584846
ostta17g00430	5221251.76043445	5391413.71725958	4101113.49119692	5901624.04637441	4884560.29962888	5551717.90118024	5645190.31909893	5146135.00594604	4732165.58582109	4637795.36680748	5164165.80922234	4417836.52232415	5515117.36011451	6177749.8755408	4489419.06789178	6237690.18708037	5685928.73649537	5441312.36740071
ostta17g00050	3813611.70322797	4392567.8442331	3366066.25316263	3695177.70424744	3287262.80206743	3980849.22907137	3826800.77656021	3667315.46150024	3264880.80618858	3643496.51300391	2946035.53738821	3400115.33581329	3815673.3560416	4193457.36387693	3735905.86422857	4114771.05085893	3871248.12227396	3220645.11589533
ostta01g01560	14493741.2317358	14311198.6491019	6596082.57730091	14094080.6723325	13494221.5114347	14005930.343331	14507348.9878196	13759521.7011105	8398918.8136804	12658733.6704546	11478342.9734528	6646855.40072505	13065899.4378977	12470449.1876807	6725648.92293853	12673306.418491	11769104.0605624	11195667.9371645
ostta16g00040	7302773.35437663	6991446.81478907	9626900.52480545	7106037.87889996	6569751.52086094	6740880.83877673	7613614.4802832	7021709.90945382	7749277.1821431	6206622.88125106	5530767.35476153	8093945.74509058	6276586.34012176	6226480.69570058	8506270.64183242	6343548.36584933	5310897.81522718	5760512.08306837
ostta09g00960	4646751.48625172	5305043.34310382	2226966.91380248	4743425.49107945	5298822.52667254	5303980.72043406	4760312.01146104	5388624.66949256	4049629.37174201	3111026.60456571	3272138.83480918	3568665.79959698	3710632.63479622	3935996.78399992	2573450.42398904	4551728.47883193	4348726.36590144	4571149.92488448
ostta07g04290	1432581.11702101	2003777.04130792	1065328.45753336	1439451.94740362	1571377.6314778	1787446.85116705	1448424.10736497	1788497.56526853	1101107.45696566	1165987.00773284	900942.568403056	1160705.21789718	1430502.38601444	1538417.41756657	1348117.33313546	1461092.21381885	1327694.43424246	1627133.78474112
ostta05g01120	6184687.87166307	6749184.67474128	3317816.22509441	6349139.34047036	6102269.24670091	7135751.20695482	6268583.19189731	5916219.40507954	3675093.773393	5667203.01581686	5325268.12805332	4087646.51625933	5790594.16233923	7018595.74262263	4092994.65985591	6413811.42668626	5644560.9521316	5366828.33597476
