zt0_1	zt0_2	zt0_3	zt4_1	zt4_2	zt4_3	zt8_1	zt8_2	zt8_3	zt12_1	zt12_2	zt12_3	zt16_1	zt16_2	zt16_3	zt20_1	zt20_2	zt20_3
ostta10g01280	11934237.6752554	10538140.3602472	9998097.65917797	11246908.9074487	11658579.2081508	10738060.4090492	8449456.35601623	9218754.78825522	10796565.8234961	13000845.9883425	11289385.3692568	8072021.94992522	10392266.9862514	10944025.5028024	9636001.98852576	11180879.287048	11760145.2977274	10001605.4388372
ostta17g02030	19175152.7399528	20083783.7595876	25528025.7640764	18249611.0292965	22795784.5797515	24945634.0628117	18327088.5783098	17408094.8398838	24011760.6291745	23660636.9860191	15700273.7254624	22426358.112028	21221479.0454172	20468692.8275673	24139634.4264709	20309409.7722528	26176283.5579846	25532650.5536547
ostta07g02040	4523743.41368393	6171356.97225635	4048556.63217404	4331222.21447562	6328007.65951047	3469524.1047985	4220958.68197053	4495534.66063549	3553464.52937791	5959491.45733805	5727345.04049523	4423183.8885606	4109539.6775243	3982994.35602841	4372096.46244987	4073564.53033999	5326688.32851837	4031275.95788458
ostta17g00050	7545610.25913132	9113491.21540061	6237388.19809953	7460564.48014932	8339180.78866183	4874195.61001769	6558551.92977739	6555835.00404048	5010687.37017976	10636616.3453879	8255529.64718292	5230073.1928886	7598845.263096	6547534.83412398	5573565.37154734	8064641.5861835	8248134.23155324	6239785.84310715
ostta01g05020	28093320.2507302	32655352.4736437	28325347.8338849	28720710.8194028	28427964.8860053	30701117.7548576	26497972.6706464	27338018.8220203	29064605.4310949	36690952.8757747	22779991.3024946	27928784.2881494	28253127.3406487	28623687.8409887	23665489.0238396	29069444.0107247	30061351.7372317	28329836.3950431
ostta08g02510	9271340.05392439	9844803.00351131	8825347.33323079	9316075.1260414	8491044.29560292	9010461.35596156	9187595.67382714	6694193.73006089	8183866.26777925	9677010.20108361	6939108.82204041	6923396.76161871	10257151.2864498	7879663.52181286	7178733.11103922	9568531.80834248	8970778.42563751	8828860.61629518
ostta06g03620	3469102.23978518	3752330.05575516	8228936.47709552	3119711.36553603	3290999.71319116	3084242.19428146	4608778.273754	3630764.34933669	4512239.48996655	10569132.2411782	9915246.91414596	7207260.01467903	14425474.3158291	4326934.34958917	10911564.2227773	6333601.89388973	11685614.7635497	8232835.49223213
ostta13g02260	80006624.5163181	75222853.6521685	79713412.2114925	79054404.3592192	79054404.3592192	79982060.2858218	73902364.6975393	73902364.6975393	79566185.3068348	78261141.2739815	68608797.6455238	78937317.0914853	74719407.5076989	77487542.9398161	74495166.0043019	105648266.477956	79611259.7350326	79719756.6863917
ostta19g00470	6674220.55665422	6516008.04105192	5129178.66816364	6264003.38366368	6145037.96984538	4638636.97607359	6062774.81363642	5408904.21677652	4780122.77703635	4917619.7195489	5675623.0079259	4989616.42722422	7134336.68542693	4904983.26580516	4655844.61694904	5887565.70654984	5578659.47138336	5123427.44457139
ostta06g02290	105648266.477956	105648266.477956	105648266.477956	105648266.477956	105648266.477956	105648266.477956	105648266.477956	105648266.477956	105648266.477956	105648266.477956	105648266.477956	105648266.477956	105648266.477956	96690990.8035855	105648266.477956	78776439.4548447	105648266.477956	105648266.477956
ostta10g03200	11304788.5174953	12467541.9920236	11698249.9605811	10702308.9111605	11909702.9056802	11974517.7509267	11922441.3682561	10900648.9241782	12286511.8919469	8813781.83662694	10872853.2386984	10961651.6955754	11494437.0760751	10288603.6467788	11782454.587719	10139423.0305097	9893286.14016017	11701289.7844193
